trial_id,loss,accuracy,f1_score,precision,recall,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config/lr,config/batch_size,config/epochs,config/freeze,config/model,config/with_mlp
06f9a_00034,1.2031630817641559,59.401709401709404,0.463276836158192,0.7321428571428571,0.33884297520661155,125.1300790309906,True,,,10,9d70e49c8b964e788bf8fba770d86434,2023-01-12_01-19-41,1673475581,1268.9471707344055,16192,DESKTOP-G9R02TV,127.0.0.1,1268.9471707344055,0,10,0.0,"34_batch_size=4,freeze=False,lr=0.0001,model=densenet201,with_mlp=False",0.0001,4,10,False,densenet201,False
06f9a_00035,1.344833243606437,59.82905982905983,0.5727272727272726,0.6363636363636364,0.5206611570247934,90.3430848121643,True,,,10,8ed53313c86446c9b95e15ca144db3e8,2023-01-12_01-34-40,1673476480,894.6150908470154,2244,DESKTOP-G9R02TV,127.0.0.1,894.6150908470154,0,10,0.0,"35_batch_size=8,freeze=False,lr=0.0001,model=densenet201,with_mlp=False",0.0001,8,10,False,densenet201,False
06f9a_00036,0.6425755818684896,63.67521367521367,0.6558704453441295,0.6428571428571429,0.6694214876033058,100.54961562156677,True,,,10,f6825430545c4a17baff818de3d24ac7,2023-01-12_01-51-30,1673477490,1006.0829057693481,15044,DESKTOP-G9R02TV,127.0.0.1,1006.0829057693481,0,10,0.015619993209838867,"36_batch_size=2,freeze=True,lr=0.0001,model=densenet201,with_mlp=False",5e-05,2,10,True,densenet201,False
06f9a_00037,0.6375500279614049,67.52136752136752,0.638095238095238,0.7528089887640449,0.5537190082644629,73.09508633613586,True,,,10,d21f28daf6294aa9b33861f1009cb8aa,2023-01-12_02-03-40,1673478220,725.5925805568695,20812,DESKTOP-G9R02TV,127.0.0.1,725.5925805568695,0,10,0.015597105026245117,"37_batch_size=4,freeze=True,lr=0.0001,model=densenet201,with_mlp=False",5e-05,4,10,True,densenet201,False
06f9a_00038,0.6477865887503339,65.38461538461539,0.6553191489361703,0.6754385964912281,0.6363636363636364,59.79963278770447,True,,,10,9524cf155b4f49d486ad7f8eef89fcc2,2023-01-12_02-13-49,1673478829,604.4893589019775,20644,DESKTOP-G9R02TV,127.0.0.1,604.4893589019775,0,10,0.015621185302734375,"38_batch_size=8,freeze=True,lr=0.0001,model=densenet201,with_mlp=False",5e-05,8,10,True,densenet201,False
06f9a_00039,1.3468531421107104,59.82905982905983,0.47777777777777775,0.7288135593220338,0.35537190082644626,213.6310510635376,True,,,10,b90a964631b941f88dc11a3bf7a40a20,2023-01-12_02-49-45,1673480985,2151.7520320415497,16136,DESKTOP-G9R02TV,127.0.0.1,2151.7520320415497,0,10,0.0,"39_batch_size=2,freeze=False,lr=0.0001,model=densenet201,with_mlp=False",5e-05,2,10,False,densenet201,False
06f9a_00040,0.8955590011727097,62.39316239316239,0.6507936507936509,0.6259541984732825,0.6776859504132231,127.58251857757568,True,,,10,df3b571ea2e74b2d91cf6d2b31f37b3b,2023-01-12_03-11-01,1673482261,1271.919382095337,21460,DESKTOP-G9R02TV,127.0.0.1,1271.919382095337,0,10,0.0,"40_batch_size=4,freeze=False,lr=0.0001,model=densenet201,with_mlp=False",5e-05,4,10,False,densenet201,False
06f9a_00041,1.1089000212840545,56.837606837606835,0.5429864253393666,0.6,0.49586776859504134,90.00657606124878,True,,,10,98f7294683514078b3c4d6f163ff51a9,2023-01-12_03-26-04,1673483164,898.8573858737946,21024,DESKTOP-G9R02TV,127.0.0.1,898.8573858737946,0,10,0.0,"41_batch_size=8,freeze=False,lr=0.0001,model=densenet201,with_mlp=False",5e-05,8,10,False,densenet201,False
06f9a_00042,0.6778490767519698,54.700854700854705,0.5891472868217055,0.5547445255474452,0.628099173553719,99.93616557121277,True,,,10,6014389b71964cae98085586d64982fe,2023-01-12_03-42-52,1673484172,1003.3933389186859,23524,DESKTOP-G9R02TV,127.0.0.1,1003.3933389186859,0,10,0.0,"42_batch_size=2,freeze=True,lr=0.0000,model=densenet201,with_mlp=False",1e-05,2,10,True,densenet201,False
06f9a_00043,0.679781008989383,61.53846153846154,0.6739130434782609,0.6,0.768595041322314,72.71908330917358,True,,,10,2e2f67d9318f44d980be1d13923096b0,2023-01-12_03-55-06,1673484906,729.4832441806793,3572,DESKTOP-G9R02TV,127.0.0.1,729.4832441806793,0,10,0.0,"43_batch_size=4,freeze=True,lr=0.0000,model=densenet201,with_mlp=False",1e-05,4,10,True,densenet201,False
06f9a_00044,0.6844732170431023,57.692307692307686,0.6501766784452296,0.5679012345679012,0.7603305785123967,59.651198625564575,True,,,10,83f260224ff44b968748c5a602b4fd7c,2023-01-12_04-05-14,1673485514,604.1545150279999,16044,DESKTOP-G9R02TV,127.0.0.1,604.1545150279999,0,10,0.0,"44_batch_size=8,freeze=True,lr=0.0000,model=densenet201,with_mlp=False",1e-05,8,10,True,densenet201,False
06f9a_00045,0.7622747828817775,55.12820512820513,0.6181818181818182,0.551948051948052,0.7024793388429752,217.41043257713318,True,,,10,8a60eff5e63e4ae78031a19a2f3a4bde,2023-01-12_04-40-54,1673487654,2134.6101672649384,21776,DESKTOP-G9R02TV,127.0.0.1,2134.6101672649384,0,10,0.015621185302734375,"45_batch_size=2,freeze=False,lr=0.0000,model=densenet201,with_mlp=False",1e-05,2,10,False,densenet201,False
06f9a_00046,0.996626699072683,57.26495726495726,0.6240601503759398,0.5724137931034483,0.6859504132231405,127.36613368988037,True,,,10,e7d4089c71c3442b8924aa748b434523,2023-01-12_05-02-23,1673488943,1284.156851053238,22092,DESKTOP-G9R02TV,127.0.0.1,1284.156851053238,0,10,0.015622138977050781,"46_batch_size=4,freeze=False,lr=0.0000,model=densenet201,with_mlp=False",1e-05,4,10,False,densenet201,False
06f9a_00047,0.9973516219701523,56.837606837606835,0.5774058577405857,0.5847457627118644,0.5702479338842975,86.03560972213745,True,,,10,2cd08170507943618f09b505a0516b4b,2023-01-12_05-17-09,1673489829,881.2680678367615,7924,DESKTOP-G9R02TV,127.0.0.1,881.2680678367615,0,10,0.015621185302734375,"47_batch_size=8,freeze=False,lr=0.0000,model=densenet201,with_mlp=False",1e-05,8,10,False,densenet201,False
